crime_count,MONTH,HOUR,DAY_OF_WEEK,percent_difference
105,3,2,Saturday,-0.49062984180053820439
161,3,2,Sunday,-0.21896575742749191340
41,3,2,Thursday,-0.80110308108401967981
26,3,2,Tuesday,-0.87387024654108565061
55,3,2,Wednesday,-0.73318705999075810706
20,3,3,Friday,-0.90297711272391203893
5,3,3,Monday,-0.97574427818097800973
79,3,3,Saturday,-0.61675959525945255378
62,3,3,Sunday,-0.69922904944412732069
27,3,3,Thursday,-0.86901910217728125256
40,3,3,Tuesday,-0.80595422544782407786
17,3,3,Wednesday,-0.91753054581532523309
2,3,4,Friday,-0.99029771127239120389
20,3,4,Monday,-0.90297711272391203893
40,3,4,Saturday,-0.80595422544782407786
27,3,4,Sunday,-0.86901910217728125256
37,3,4,Thursday,-0.82050765853923727202
8,3,4,Tuesday,-0.96119084508956481557
5,3,4,Wednesday,-0.97574427818097800973
5,3,5,Friday,-0.97574427818097800973
5,3,5,Monday,-0.97574427818097800973
39,3,5,Saturday,-0.81080536981162847592
55,3,5,Sunday,-0.73318705999075810706
20,3,5,Thursday,-0.90297711272391203893
38,3,5,Tuesday,-0.81565651417543287397
18,3,5,Wednesday,-0.91267940145152083504
23,3,6,Friday,-0.88842367963249884477
35,3,6,Monday,-0.83020994726684606813
36,3,6,Saturday,-0.82535880290304167008
37,3,6,Sunday,-0.82050765853923727202
24,3,6,Thursday,-0.88357253526869444672
53,3,6,Tuesday,-0.74288934871836690317
3,3,6,Wednesday,-0.98544656690858680584
61,3,7,Friday,-0.70408019380793171874
36,3,7,Monday,-0.82535880290304167008
27,3,7,Saturday,-0.86901910217728125256
1,3,7,Sunday,-0.99514885563619560195
59,3,7,Thursday,-0.71378248253554051485
61,3,7,Tuesday,-0.70408019380793171874
29,3,7,Wednesday,-0.85931681344967245645
45,3,8,Friday,-0.78169850362880208760
54,3,8,Monday,-0.73803820435456250511
42,3,8,Saturday,-0.79625193672021528176
25,3,8,Sunday,-0.87872139090489004866
64,3,8,Thursday,-0.68952676071651852458
48,3,8,Tuesday,-0.76714507053738889343
9,3,8,Wednesday,-0.95633970072576041752
80,3,9,Friday,-0.61190845089564815572
28,3,9,Monday,-0.86416795781347685450
26,3,9,Saturday,-0.87387024654108565061
45,3,9,Sunday,-0.78169850362880208760
93,3,9,Thursday,-0.54884357416619098103
44,3,9,Tuesday,-0.78654964799260648565
114,3,9,Wednesday,-0.44696954252629862191
116,3,10,Friday,-0.43726725379868982580
50,3,10,Monday,-0.75744278180978009733
67,3,10,Saturday,-0.67497332762510533042
59,3,10,Sunday,-0.71378248253554051485
32,3,10,Thursday,-0.84476338035825926229
113,3,10,Tuesday,-0.45182068689010301996
82,3,10,Wednesday,-0.60220616216803935962
68,3,11,Friday,-0.67012218326130093237
60,3,11,Monday,-0.70893133817173611679
64,3,11,Saturday,-0.68952676071651852458
63,3,11,Sunday,-0.69437790508032292263
52,3,11,Thursday,-0.74774049308217130122
121,3,11,Tuesday,-0.41301153197966783553
90,3,11,Wednesday,-0.56339700725760417519
151,3,12,Friday,-0.26747720106553589393
64,3,12,Monday,-0.68952676071651852458
102,3,12,Saturday,-0.50518327489195139855
77,3,12,Sunday,-0.62646188398706134989
87,3,12,Thursday,-0.57795044034901736935
183,3,12,Tuesday,-0.11224058142379515622
46,3,12,Wednesday,-0.77684735926499768954
123,3,13,Friday,-0.40330924325205903943
